1,[27]
2,"[27, 28]"
3,[28]
4,[46]
5,"[20, 46]"
6,"[0, 20]"
7,"[0, 15, 20, 24]"
8,"[15, 37]"
9,[37]
11,"[17, 27]"
12,"[27, 28]"
13,[28]
14,"[18, 46, 48]"
15,"[18, 46, 48]"
16,"[0, 20]"
17,"[0, 15]"
20,"[17, 30]"
21,[17]
22,[42]
23,"[5, 42]"
24,"[5, 36, 48]"
25,"[18, 48, 49]"
26,[49]
27,[4]
29,[38]
30,[30]
32,[42]
33,"[5, 36, 42]"
34,"[5, 33, 36, 39]"
35,"[33, 39, 49]"
36,"[4, 49]"
37,[4]
39,"[6, 38, 47]"
43,[9]
44,"[9, 33, 39]"
45,"[3, 33, 39]"
49,"[6, 47]"
51,[2]
52,"[2, 25, 26]"
53,"[9, 25, 26, 32]"
54,"[3, 9, 12, 19, 26, 32]"
55,"[3, 19]"
56,[3]
57,"[11, 22]"
58,"[11, 44]"
59,[44]
60,[13]
61,"[2, 45]"
62,"[2, 10, 25, 45]"
63,"[10, 12, 25, 26, 31]"
64,"[12, 31, 32]"
65,"[3, 19]"
66,"[7, 22, 23, 29, 40]"
67,"[7, 11, 22]"
68,"[22, 44]"
69,[44]
70,"[13, 16]"
71,"[16, 45]"
72,"[1, 10, 16, 45]"
73,"[10, 31, 43]"
74,"[31, 43]"
75,"[23, 29, 40]"
76,"[7, 23, 29, 40]"
77,[7]
81,[16]
82,"[1, 35]"
83,"[1, 14, 35, 43]"
84,"[8, 14, 43]"
85,[8]
86,[23]
88,[21]
89,[21]
90,[41]
92,"[1, 35]"
93,"[14, 34, 35]"
94,"[8, 14, 34]"
95,[8]
98,[21]
99,[21]
